a	@
births	bh @r T s
bis	bh I s
bise	bh aI z
bish	bh I S
bisque	bh I s k
bit	bh I t
bitch	bh I tS
bite	bh aI t
bites	bh aI t s
bits	bh I t s
bix	bh I k s
biz	bh I z
bjork	bh j O@ k
bjorn	bh j O@ n
black	bh l { k
blacked	bh l { k t
blacks	bh l { k s
black's	bh l { k s
blade	bh l eI d
blades	bh l eI d z
blagg	bh l { g
blah	bh l Q
blain	bh l eI n
blaine	bh l eI n
blair	bh l e@
blair's	bh l e@ z
blaise	bh l eI z
blaize	bh l eI z
blake	bh l eI k
blake's	bh l eI k s
blame	bh l eI m
blamed	bh l eI m d
blames	bh l eI m z
blan	bh l { n
blanc	bh l { N k
blanch	bh l { n tS
blanche	bh l { n tS
bland	bh l { n d
blane	bh l eI n
blank	bh l { N k
blanked	bh l { N k t
blanks	bh l { N k s
blare	bh l e@
blared	bh l e@ d
blares	bh l e@ z
blas	bh l Q s
blase	bh l eI z
blast	bh l { s t
blasts	bh l { s t s
blatt	bh l { t
blatz	bh l { t s
blau	bh l aU
blay	bh l eI
blayne	bh l eI n
blayze	bh l eI z
blaze	bh l eI z
blazed	bh l eI z d
blea	bh l i:
bleach	bh l i: tS
bleached	bh l i: tS t
bleak	bh l i: k
blech	bh l e k
bleck	bh l e k
bled	bh l e d
bleed	bh l i: d
bleeds	bh l i: d z
bleep	bh l i: p
blend	bh l e n d
blends	bh l e n d z
bless	bh l e s
blessed	bh l e s t
blest	bh l e s t
bleu	bh l u:
blew	bh l u:
bley	bh l eI
blick	bh l I k
bligh	bh l aI
blight	bh l aI t
blimp	bh l I m p
blimps	bh l I m p s
blind	bh l aI n d
blinds	bh l aI n d z
blink	bh l I N k
blinked	bh l I N k t
blinks	bh l I N k s
blinn	bh l I n
blip	bh l I p
blips	bh l I p s
bliss	bh l I s
blithe	bh l aI D
blitz	bh l I t s
blitzed	bh l I t s t
bloat	bh l @U t
blob	bh l Q b
blobs	bh l Q b z
bloc	bh l Q k
bloch	bh l Q k
bloch's	bh l Q k s
block	bh l Q k
blocked	bh l Q k t
blocks	bh l Q k s
block's	bh l Q k s
blocs	bh l Q k s
bloc's	bh l Q k s
bloem	bh l @U m
blok	bh l Q k
bloke	bh l @U k
blokes	bh l @U k s
blond	bh l Q n d
blonde	bh l Q n d
blondes	bh l Q n d z
blonde's	bh l Q n d z
blonds	bh l Q n d z
blood	bh l V d
bloods	bh l V d z
blood's	bh l V d z
bloom	bh l u: m
bloomed	bh l u: m d
blooms	bh l u: m z
bloom's	bh l u: m z
blot	bh l Q t
blots	bh l Q t s
blount	bh l aU n t
blouse	bh l aU s
blow	bh l @U
blowed	bh l @U d
blown	bh l @U n
blows	bh l @U z
blue	bh l u:
blues	bh l u: z
blue's	bh l u: z
bluff	bh l V f
bluffed	bh l V f t
bluffs	bh l V f s
bluhm	bh l V m
blum	bh l u: m
blume	bh l u: m
blunk	bh l V N k
blunt	bh l V n t
blunts	bh l V n t s
blur	bh l @r
blurb	bh l @r b
blurbs	bh l @r b z
blurred	bh l @r d
blurs	bh l @r z
blurt	bh l @r t
blurts	bh l @r t s
blush	bh l V S
blushed	bh l V S t
bly	bh l aI
blyth	bh l I T
